1	add	3	14	0
2	add	19	6	0
3	add	3	18	0
4	add	12	17	0
5	add	5	7	0
6	add	2	17	0
7	add	2	4	0
8	add	12	2	0
9	add	12	15	0
10	add	6	4	0
11	add	18	5	0
12	add	9	11	0
13	add	8	9	0
14	add	13	20	0
15	add	19	8	0
16	add	16	15	0
17	add	10	1	0
18	add	7	6	0
19	add	14	10	0
20	add	18	1	0
21	add	2	12	0
22	add	9	14	0
23	add	5	16	0
24	add	14	8	0
25	add	3	17	0
26	add	19	17	0
27	add	10	12	0
28	add	20	18	0
29	add	20	9	0
30	add	17	1	0
31	add	17	9	0
32	add	20	2	0
33	add	15	1	0
34	add	9	11	0
35	add	11	1	0
36	add	8	16	0
37	add	18	6	0
38	add	15	12	0
39	add	19	7	0
40	add	9	11	0
41	add	4	3	0
42	add	8	12	0
43	add	8	4	0
44	add	5	11	0
45	add	4	15	0
46	add	13	20	0
47	add	6	9	0
48	add	2	7	0
49	add	1	8	0
50	add	14	20	0
