1	add	3	14	0
3	add	19	6	0
5	add	3	18	0
7	add	12	17	0
9	add	5	7	0
11	add	2	17	0
13	add	2	11	0
15	add	12	2	0
17	add	12	15	0
19	add	6	4	0
21	add	18	5	0
23	add	9	11	0
25	add	8	7	0
27	add	13	20	0
29	add	19	8	0
31	add	16	15	0
33	add	10	1	0
35	add	7	6	0
37	add	14	10	0
39	add	18	1	0
41	add	2	12	0
43	add	9	14	0
45	add	5	16	0
47	add	14	8	0
49	add	3	17	0
51	add	19	17	0
53	add	10	12	0
55	add	20	18	0
57	add	20	9	0
59	add	17	1	0
61	add	17	9	0
63	add	20	2	0
65	add	15	1	0
67	add	9	11	0
69	add	11	1	0
71	add	8	16	0
73	add	18	6	0
75	add	15	12	0
77	add	19	7	0
79	add	9	21	0
81	add	4	3	0
83	add	8	21	0
85	add	8	4	0
87	add	5	11	0
89	add	4	15	0
91	add	13	20	0
93	add	6	3	0
95	add	2	7	0
97	add	1	8	0
99	add	14	20	0
